"time","latitude","longitude","ptype"
2007-08-31 23:00:00,45.8,18.8,0.372314453125
2007-09-30 23:00:00,45.8,18.8,0.372314453125
2007-10-31 23:00:00,45.8,18.8,0.3387451171875
2007-11-30 23:00:00,45.8,18.8,2.1075439453125
2007-12-31 23:00:00,45.8,18.8,2.909912109375
2008-01-31 23:00:00,45.8,18.8,2.909912109375
2008-02-29 23:00:00,45.8,18.8,3.0968017578125
2008-03-31 23:00:00,45.8,18.8,3.1505126953125
2008-04-30 23:00:00,45.8,18.8,3.1505126953125
2008-05-31 23:00:00,45.8,18.8,2.7271728515625
2008-06-30 23:00:00,45.8,18.8,1.9610595703125
2008-07-31 23:00:00,45.8,18.8,1.9610595703125
2008-08-31 23:00:00,45.8,18.8,1.8441162109375
2008-09-30 23:00:00,45.8,18.8,3.0604248046875
2008-10-31 23:00:00,45.8,18.8,2.6895751953125
2008-11-30 23:00:00,45.8,18.8,2.6895751953125
2008-12-31 23:00:00,45.8,18.8,0.2781982421875
2009-01-31 23:00:00,45.8,18.8,0.3253173828125
2009-02-28 23:00:00,45.8,18.8,0.3253173828125
2009-03-31 23:00:00,45.8,18.8,0.31591796875
2009-04-30 23:00:00,45.8,18.8,0.7916259765625
2009-05-31 23:00:00,45.8,18.8,2.7674560546875
2009-06-30 23:00:00,45.8,18.8,2.7674560546875
2009-07-31 23:00:00,45.8,18.8,3.133056640625
2009-08-31 23:00:00,45.8,18.8,3.095458984375
2009-09-30 23:00:00,45.8,18.8,3.095458984375
2009-10-31 23:00:00,45.8,18.8,2.926025390625
2009-11-30 23:00:00,45.8,18.8,2.4300537109375
2009-12-31 23:00:00,45.8,18.8,2.4300537109375
2010-01-31 23:00:00,45.8,18.8,1.502685546875
2010-02-28 23:00:00,45.8,18.8,1.9354248046875
2010-03-31 23:00:00,45.8,18.8,2.7593994140625
2010-04-30 23:00:00,45.8,18.8,2.7593994140625
2010-05-31 23:00:00,45.8,18.8,3.125
2010-06-30 23:00:00,45.8,18.8,3.142822265625
2010-07-31 23:00:00,45.8,18.8,3.142822265625
2010-08-31 23:00:00,45.8,18.8,3.235107421875
2010-09-30 23:00:00,45.8,18.8,3.1949462890625
2010-10-31 23:00:00,45.8,18.8,3.1949462890625
2010-11-30 23:00:00,45.8,18.8,3.168212890625
2010-12-31 23:00:00,45.8,18.8,3.0892333984375
2011-01-31 23:00:00,45.8,18.8,3.0892333984375
2011-02-28 23:00:00,45.8,18.8,2.9747314453125
2011-03-31 23:00:00,45.8,18.8,2.7783203125
2011-04-30 23:00:00,45.8,18.8,2.7783203125
2011-05-31 23:00:00,45.8,18.8,2.5045166015625
